Date,Amount,Vendor,Status,Duplicate
2023-02-16,4469,VendorC,Pending,0
2023-01-25,897,VendorB,Pending,0
2023-05-19,2821,VendorD,Failed,0
2023-02-06,3631,VendorB,Failed,1
2023-06-12,4487,VendorA,Failed,0
2023-01-06,1133,VendorB,Failed,0
2023-04-21,737,VendorA,Pending,0
2023-04-18,1308,VendorC,Pending,0
2023-01-15,637,VendorA,Pending,0
2023-04-20,2636,VendorA,Pending,1
2023-07-10,1547,VendorD,Processed,0
2023-05-22,2911,VendorC,Processed,0
2023-05-11,2297,VendorA,Failed,0
2023-06-06,316,VendorC,Processed,0
2023-02-18,1741,VendorC,Failed,1
2023-05-21,1028,VendorB,Pending,1
2023-01-27,3319,VendorC,Pending,0
2023-02-22,4109,VendorD,Failed,0
2023-07-17,1583,VendorC,Processed,0
2023-04-30,280,VendorB,Processed,0
2023-03-04,2781,VendorA,Pending,0
2023-06-03,4189,VendorB,Failed,1
2023-04-02,301,VendorA,Processed,0
2023-02-26,530,VendorB,Processed,0
2023-03-03,3056,VendorC,Failed,1
2023-03-26,916,VendorD,Processed,0
2023-01-20,1971,VendorA,Pending,0
2023-01-09,805,VendorA,Processed,0
2023-02-13,3722,VendorD,Processed,0
2023-06-19,870,VendorB,Failed,1
2023-01-01,2832,VendorB,Processed,0
2023-03-11,1304,VendorC,Processed,0
2023-01-10,2699,VendorD,Pending,0
2023-07-09,299,VendorB,Failed,1
2023-05-31,307,VendorA,Pending,0
2023-07-18,297,VendorB,Failed,0
2023-06-04,2010,VendorD,Pending,0
2023-06-25,1298,VendorD,Pending,0
2023-03-29,1073,VendorC,Failed,0
2023-01-24,855,VendorB,Processed,0
2023-01-31,4835,VendorB,Pending,0
2023-02-07,3030,VendorB,Pending,1
2023-06-21,1341,VendorB,Failed,0
2023-05-09,1652,VendorA,Failed,0
2023-07-01,4493,VendorA,Processed,1
2023-07-13,2950,VendorC,Processed,0
2023-06-26,3097,VendorA,Processed,0
2023-02-09,902,VendorD,Failed,1
2023-04-04,2518,VendorD,Failed,1
2023-02-05,2823,VendorA,Processed,0
2023-03-05,4280,VendorD,Processed,1
2023-02-12,2056,VendorD,Pending,0
2023-02-02,814,VendorB,Processed,1
2023-02-23,2205,VendorD,Pending,1
2023-03-01,2759,VendorB,Pending,0
2023-04-04,2518,VendorD,Failed,1
2023-02-24,4042,VendorB,Pending,0
2023-07-04,1895,VendorD,Processed,0
2023-05-13,125,VendorC,Failed,0
2023-02-04,251,VendorA,Processed,0
2023-04-27,4803,VendorD,Processed,0
2023-06-02,3521,VendorC,Pending,1
2023-05-05,2746,VendorD,Failed,0
2023-05-21,1028,VendorB,Pending,1
2023-06-17,4175,VendorB,Failed,1
2023-04-19,2592,VendorC,Failed,0
2023-03-20,1705,VendorA,Processed,1
2023-03-28,1734,VendorD,Pending,0
2023-01-18,4951,VendorD,Pending,0
2023-02-17,4584,VendorB,Failed,0
2023-03-08,4970,VendorD,Processed,0
2023-02-11,2276,VendorB,Failed,1
2023-04-04,2518,VendorD,Failed,1
2023-03-16,2867,VendorC,Pending,0
2023-02-19,3214,VendorD,Pending,1
2023-05-25,625,VendorD,Processed,0
2023-04-09,2087,VendorA,Failed,0
2023-01-05,4959,VendorA,Pending,0
2023-06-18,723,VendorC,Processed,0
2023-03-19,660,VendorA,Failed,1
2023-03-17,3057,VendorA,Pending,0
2023-04-10,2887,VendorD,Failed,0
2023-02-01,644,VendorC,Processed,1
2023-02-14,3660,VendorD,Processed,1
2023-07-12,3216,VendorB,Pending,0
2023-01-29,3437,VendorB,Failed,1
2023-01-21,2596,VendorD,Failed,0
2023-04-03,2531,VendorD,Processed,0
2023-06-09,3126,VendorA,Failed,1
2023-01-19,2146,VendorD,Pending,1
2023-01-14,1801,VendorA,Pending,0
2023-05-24,2435,VendorC,Processed,0
2023-06-05,2960,VendorB,Failed,1
2023-01-19,2146,VendorD,Pending,1
2023-06-05,2960,VendorB,Failed,1
2023-07-06,3566,VendorA,Processed,0
2023-01-28,523,VendorB,Processed,0
2023-03-13,1267,VendorC,Pending,0
2023-05-29,2422,VendorD,Failed,0
2023-05-30,3610,VendorD,Pending,1
2023-05-01,2471,VendorB,Pending,0
2023-05-07,3037,VendorB,Failed,0
2023-02-27,4287,VendorC,Failed,0
2023-04-15,407,VendorB,Failed,0
2023-06-22,2811,VendorB,Pending,0
2023-04-07,4326,VendorB,Failed,1
2023-02-20,4453,VendorC,Processed,0
2023-06-05,2960,VendorB,Failed,1
2023-05-06,3633,VendorD,Pending,0
2023-04-25,2444,VendorD,Pending,0
2023-03-09,1171,VendorB,Processed,1
2023-04-05,4751,VendorB,Processed,0
2023-01-22,199,VendorC,Processed,0
2023-03-12,4018,VendorA,Processed,0
2023-03-22,3778,VendorD,Processed,0
2023-04-16,1252,VendorA,Pending,1
2023-01-11,2235,VendorA,Pending,1
2023-02-02,814,VendorB,Processed,1
2023-01-13,2997,VendorA,Pending,0
2023-03-20,1705,VendorA,Processed,1
2023-04-16,1252,VendorA,Pending,1
2023-05-18,1569,VendorD,Failed,1
2023-03-21,1572,VendorD,Failed,0
2023-05-08,1745,VendorD,Pending,0
2023-02-08,1307,VendorC,Processed,1
2023-03-06,2351,VendorB,Processed,1
2023-01-23,2108,VendorC,Processed,0
2023-02-01,644,VendorC,Processed,1
2023-06-28,907,VendorA,Processed,0
2023-03-25,2054,VendorA,Failed,0
2023-05-30,3610,VendorD,Pending,1
2023-03-14,1784,VendorD,Pending,0
2023-02-10,2276,VendorD,Processed,0
2023-05-15,1056,VendorA,Processed,1
2023-02-03,2392,VendorB,Processed,0
2023-06-14,2875,VendorA,Failed,1
2023-01-02,2707,VendorC,Processed,0
2023-06-10,2382,VendorC,Failed,1
2023-06-03,4189,VendorB,Failed,1
2023-05-23,569,VendorB,Failed,0
2023-06-11,1840,VendorD,Processed,0
2023-03-10,4835,VendorB,Failed,1
2023-06-20,4151,VendorA,Pending,0
2023-03-18,4569,VendorC,Pending,0
2023-03-07,4520,VendorA,Pending,1
2023-02-02,814,VendorB,Processed,1
2023-06-17,4175,VendorB,Failed,1
2023-02-28,2546,VendorB,Processed,1
2023-06-08,4263,VendorB,Pending,1
2023-04-17,375,VendorC,Processed,0
2023-05-12,1234,VendorB,Failed,0
2023-07-15,4963,VendorA,Processed,0
2023-03-23,356,VendorD,Pending,0
2023-06-27,2695,VendorB,Failed,0
2023-06-23,921,VendorC,Processed,0
2023-05-17,3034,VendorB,Failed,0
2023-03-15,3399,VendorA,Pending,0
2023-03-27,2535,VendorB,Processed,0
2023-01-29,3437,VendorB,Failed,1
2023-05-27,1820,VendorB,Pending,0
2023-05-10,3324,VendorD,Pending,1
2023-07-11,2489,VendorA,Failed,0
2023-05-04,2287,VendorA,Pending,0
2023-03-02,1689,VendorB,Failed,0
2023-05-21,1028,VendorB,Pending,1
2023-06-16,1262,VendorC,Pending,0
2023-02-06,3631,VendorB,Failed,1
2023-07-14,2054,VendorA,Failed,0
2023-01-30,2845,VendorA,Failed,0
2023-05-16,2013,VendorC,Failed,0
2023-06-15,2703,VendorD,Processed,0
2023-06-07,124,VendorC,Pending,1
2023-03-24,3862,VendorA,Processed,1
2023-07-02,3986,VendorC,Failed,0
2023-07-07,3711,VendorD,Pending,0
2023-04-04,2518,VendorD,Failed,1
2023-04-26,3191,VendorC,Failed,0
2023-04-28,4012,VendorD,Pending,1
2023-03-10,4835,VendorB,Failed,1
2023-01-12,2322,VendorD,Pending,1
2023-02-25,3291,VendorB,Processed,0
2023-03-10,4835,VendorB,Failed,1
2023-05-20,1996,VendorD,Processed,0
2023-04-24,3398,VendorC,Pending,1
2023-02-08,1307,VendorC,Processed,1
2023-07-19,994,VendorD,Failed,0
2023-07-08,4625,VendorC,Processed,0
2023-04-13,4282,VendorA,Failed,1
2023-06-29,3565,VendorD,Pending,1
2023-01-08,3568,VendorB,Pending,0
2023-04-29,1534,VendorA,Pending,0
2023-04-14,2159,VendorA,Processed,0
2023-06-30,2221,VendorA,Failed,1
2023-06-13,3881,VendorC,Pending,0
2023-03-20,1705,VendorA,Processed,1
2023-01-16,2993,VendorA,Failed,0
2023-05-02,3954,VendorB,Failed,0
2023-05-14,1588,VendorC,Failed,0
2023-01-03,1753,VendorA,Processed,0
2023-06-07,124,VendorC,Pending,1
2023-06-07,124,VendorC,Pending,1
2023-06-24,4503,VendorC,Processed,0
2023-04-01,3065,VendorD,Pending,0
2023-01-04,3364,VendorC,Processed,0
2023-06-01,4362,VendorA,Failed,0
2023-01-17,2263,VendorB,Failed,1
2023-02-21,4171,VendorA,Processed,0
2023-02-08,1307,VendorC,Processed,1
2023-03-30,4564,VendorD,Pending,0
2023-03-31,2123,VendorA,Pending,0
2023-01-07,4473,VendorB,Failed,0
2023-02-15,856,VendorC,Failed,0
2023-04-06,3555,VendorC,Processed,1
2023-01-17,2263,VendorB,Failed,1
2023-01-26,759,VendorB,Processed,0
2023-05-30,3610,VendorD,Pending,1
2023-04-23,194,VendorA,Pending,0
2023-05-28,691,VendorC,Failed,0
2023-04-08,1031,VendorA,Pending,0
2023-01-12,2322,VendorD,Pending,1
2023-04-22,870,VendorC,Processed,0
2023-07-16,1892,VendorA,Failed,0
2023-04-11,4405,VendorA,Processed,0
2023-07-03,830,VendorA,Processed,0
2023-03-06,2351,VendorB,Processed,1
2023-03-09,1171,VendorB,Processed,1
2023-04-12,2710,VendorD,Failed,0
2023-05-26,1963,VendorC,Failed,0
2023-07-05,1923,VendorB,Pending,1
2023-05-03,4945,VendorA,Processed,0
